tool,refactoring,input,output
Eclipse,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0();
  }
}","package Package_0;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0(0);
  }
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
public class ClassId_0 extends ClassId_2 {
  protected long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
public class ClassId_0 extends ClassId_2 {
  protected long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(int i){
    return 0;
  }
}"
Eclipse,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return this.methodid_0();
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return this.methodid_0(0);
  }
}

package Package_1;
public class ClassId_2 {
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0();
  }
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0(0);
  }
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return this.methodid_0();
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return this.methodid_0(0);
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
}"
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_0 extends ClassId_2 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
public class ClassId_2 {
  public long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;
public class ClassId_0 extends ClassId_2 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
public class ClassId_2 {
  public long methodid_0(int i){
    return 0;
  }
}"
Eclipse,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_0;
public class ClassId_1 {
  private long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_0;
public class ClassId_1 {
  private long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
}"
Netbeans,Encapsulate Field,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
}

package Package_1;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_1;
public class ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
}


package Package_1;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}


package Package_1;
public class ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}"
Netbeans,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0();
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0();
}


package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
public class ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_0;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  protected long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_0;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  protected long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;
}

package Package_1;
public class ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  protected abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  protected abstract long methodid_0(  long a);
}


package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
public class ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
private long fieldid_0=10;
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0();
}

package Package_0;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  private long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0();
}

package Package_0;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  private long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
private long fieldid_0=10;
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0(  long a);
  long fieldid_0=10;
}

package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long caller_0(){
    return getFieldid_0();
  }
}

package Package_1;
public class ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
}","package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0(  long a);
  private long fieldid_0=10;

    public long getFieldid_0() {
        return fieldid_0;
    }

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long caller_0(){
    return getFieldid_0();
  }
}


package Package_1;
public class ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_0;
public class ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}


package Package_0;
public class ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
public class ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  protected abstract long methodid_0(  long a);
  long fieldid_0=10;
}

package Package_1;
public class ClassId_1 {
  protected long getFieldid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  protected abstract long methodid_0(  long a);
  private long fieldid_0=10;

    public long getFieldid_0() {
        return fieldid_0;
    }

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
public class ClassId_1 {
  protected long getFieldid_0(){
    return 0;
  }
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
}

package Package_1;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
}

package Package_1;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}"
Netbeans,Encapsulate Field,"package Package_0;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  private long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  private long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}


package Package_1;
public class ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0();
  long fieldid_0=10;
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0();
  private long fieldid_0=10;

    public long getFieldid_0() {
        return fieldid_0;
    }

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
}


package Package_1;
public interface ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_1;
public class ClassId_1 {
  protected long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  long fieldid_0=10;
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}


package Package_1;
public class ClassId_1 {
  protected long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_1;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  protected long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}


package Package_1;
public class ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  protected long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_1 implements ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  protected long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_1 implements ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long caller_0(){
    return getFieldid_0();
  }
  protected long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0();
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0();
}


package Package_1;
public interface ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
public class ClassId_2 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_2 {
  public long methodid_1(){
    return caller_0();
  }
  public abstract long methodid_0(  long a);
}


package Package_1;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
public class ClassId_2 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  abstract long methodid_0(  int a);
  long fieldid_0=10;
}

package Package_0;
public class ClassId_1 {
  protected long getFieldid_0(){
    return 0;
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
  abstract long methodid_0(  int a);
  private long fieldid_0=10;

    public long getFieldid_0() {
        return fieldid_0;
    }

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_0;
public class ClassId_1 {
  protected long getFieldid_0(){
    return 0;
  }
}


package Package_1;
public class ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public abstract long methodid_0();
  long fieldid_0=10;
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public abstract long methodid_0();
  private long fieldid_0=10;

    public long getFieldid_0() {
        return fieldid_0;
    }

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  public long getFieldid_0(){
    return 0;
  }
}


package Package_1;
public interface ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public abstract long methodid_0(  long a);
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  public abstract long methodid_0(  long a);
}


package Package_1;
public class ClassId_2 {
}"
Netbeans,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}

package Package_0;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  long fieldid_0=10;
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0();
}


package Package_0;
public class ClassId_1 {
  public long getFieldid_0(){
    return 0;
  }
  private long fieldid_0=10;

    public void setFieldid_0(long fieldid_0) {
        this.fieldid_0 = fieldid_0;
    }
}


package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long caller_0(){
    return getFieldid_0();
  }
  public long methodid_1(){
    return caller_0();
  }
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0();
}

package Package_1;
public class ClassId_1 implements ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0();
}

package Package_1;
public class ClassId_1 implements ClassId_2 {
  protected long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long getFieldid_0(){
    return 0;
  }
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0(  int a);
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}

package Package_1;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long methodid_0(  int a);
}

package Package_1;
public interface ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  private long getFieldid_0(){
    return 0;
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  abstract long methodid_0(  int a);
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  private long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}

package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long methodid_1(){
    return caller_0();
  }
  abstract long methodid_0(  int a);
}

package Package_1;
public interface ClassId_2 {
}"
Eclipse,Encapsulate Field,"package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long getFieldid_0(){
    return 0;
  }
  public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 {
  public abstract long methodid_0(  int a);
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long getFieldid_0(){
    return 0;
  }
  public void setFieldid_0(long fieldid_0) {
	this.fieldid_0 = fieldid_0;
}
public long methodid_1(){
    return caller_0();
  }
  public long caller_0(){
    return getFieldid_0();
  }
  private long fieldid_0=10;
}

package Package_1;
public interface ClassId_2 {
}"
